Company Name,Job Title,Job Description,Job Date,Scraping data from page
Mercy Corps,"Senior Advisor, Agriculture and Market Systems","Mercy Corps is a global humanitarian aid agency engaged in transitional environments that have experienced some sort of shock: natural disaster, economic collapse, or conflict.",10 May,54.0
World Agroforestry Centre (ICRAF),Scientific Officer-Data Manager and Analyst,"The World Agroforestry Centre, is an international institute headquartered in Nairobi, Kenya, and founded in 1978. The Centre specializes in the sustainable management, protection and regulation of tr...",10 May,55.0
World Resources Institute (WRI),Consultancy: Research Assistant - Productive Use of Renewable Energy,The World Resources Institute is a global research non-profit organization that was established in 1982 with funding from the MacArthur Foundation under the leadership of James Gustave Speth. WRI...,10 May,56.0
Center for Strategy and Management Ltd,Data Analyst,"CSM is a regional leader in helping organizations solve their most pressing strategy execution challenges. We provide our clients with an integrated set of servicesstrategy and technology consulting,...",09 May,56.0
Equity Bank Kenya,Risk & Compliance Manager International Banking & Payments,"Equity Bank Limited (The ""Bank”) is incorporated, registered under the Kenyan Companies Act Cap 486 and domiciled in Kenya. The address of the Bank’s registered office is 9th Floor, Equit...",09 May,56.0
City Walk Ltd,Digital Marketing Manager,City Walk Ltd provide products of superior quality which connect directly to our customers sole to soul. We are the preferred business that offers one stop destination to pick the right pair of shoes for your whole family.Â,09 May,56.0
BURN,Data Engineer,"BURN designs, manufactures, and distributes aspirational fuel-efficient cooking products that save lives and forests in the developing world.BURN has revolutionized the global cookstove sector by prov...",09 May,57.0
BRAC,"Associate, Operations New Markets","We are the world’s largest international development organisation, dedicated to empowering people living in poverty.
If you were to describe this world to a child, which one of the following...",09 May,57.0
Katiba Institute (KI),Programme Officer: Research and Capacity Building,"The Katiba Institute (KI), Located in Nairobi, was established in 2011 to promote knowledge and studies of constitutionalism and to facilitate the implementation of Kenya’s new constitution.The...",09 May,58.0
Turnkey Africa Kenya,Software Business Analyst Internship,"Turnkey Africa is a leading Pan-African insurance technology and services provider. We develop, supply and manage end-to-end insurance business software solutions and services for the insurance indust...",09 May,58.0
Kyosk Digital Services,"Director, Financial Planning and Analysis & Transformation","A kiosk is an informal convenience store selling everyday household items. Known locally by their vernacular names e.g. Duka in Kenya, Spaza in South Africa, Kantemba in Zambia. kiosk-type retail outlets are the cornerstone of African retail, accounting for over 60% of all retail trade flows. Despite their importance, kiosk-type retail outlets face significant challenges, including high cost of stock and unreliable delivery.Â",09 May,58.0
United Bank for Africa (UBA) Kenya,Market Risk Officer,United Bank for Africa (UBA) PLC is a leading pan-African financial services institution with a global footprint. We have a clear purpose to be a role model for African businesses by creating superior value for all our stakeholders.,09 May,59.0
IOTA Foundation,Senior Business Analyst,"The IOTA Foundation is a not-for-profit organization headquartered in Berlin, Germany. The Foundation's mission is to support the development and standardization of new distributed ledger technologies (DLT) that drive permissionless innovation ecosystems, in particular, the IOTA Tangle.",08 May,60.0
International Federation of Red Cross and Red Crescent Societies (IFRC),"Assistant, Operations","The International Federation of Red Cross and Red Crescent Societies (IFRC) is the world’s largest humanitarian and development network, with millions of volunteers in 190 member National Societ...",08 May,60.0
NCBA Group,Assistant Operations Manager – Settlements,The new NCBA has harnessed the power of both NIC and CBA to create a bank that brings together the best of both worlds from cutting edge mobile banking to good old-fashioned relationship management; from scalable business banking to financial services that grow as your business does; from best-in-class choice of products to investment solutions tailored to your specific needs.,08 May,60.0
Dawa Limited,Real Estate Financial Controller,"Dawa Limited is one of the leading pharmaceutical manufacturers of human healthcare products in Kenya and East Africa. Through our specialised human health division, we have over the decades provided front-line products that have ensured enhanced quality of life for patients.",08 May,60.0
International Organization for Migration (IOM),"National Monitoring, Evaluation, and Reporting Officer (S/NFI)","Established in 1951, IOM is the leading inter-governmental organization in the field of migration and works closely with governmental, intergovernmental and non-governmental partners. With 165 member...",08 May,61.0
Stellar Human Resource Solutions,Digital Marketing Associate,We are a Human Resource Management Consulting Company based in Nairobi Kenya providing a comprehensive range of Human Resources Solutions with your business needs and focus in mind.,08 May,62.0
Haco Industries Kenya Limited,Assistant Credit Controller,"HACO Industries was established in the early 1970’s as single-product manufacturer. From those modest beginnings, HACO is now one of the region’s leading FMCG manufacturers, supplying a wide range of products to the entire East African and COMESA Markets.",06 May,62.0
GE Healthcare,Lead HR Operations Specialist (META),"GE Healthcare provides transformational medical technologies and services that are shaping a new age of patient care.
Our broad expertise in medical imaging and information technologies, medical di...",05 May,63.0
Glovo,Marketing & Growth Lead,"Glovo is a Spanish start-up founded in Barcelona in 2015. It is an on-demand courier service that purchases, picks up, and delivers products ordered through its mobile app.[1] It aspires to be a multi-category lifestyle app with food delivery being the most popular offering",05 May,63.0
